School Code,School Name,Address,City,State Code,Zip Code,Province,Country,Postal Code
006443,COCHRAN SCH NSG-ST JOHN RVSDE HOSP,967 NORTH BROADWAY,YONKERS,NY,10701,N/A,N/A,N/A
006445,POMEROY COLLEGE OF NURSING AT CROUSE,736 IRVING AVENUE,SYRACUSE,NY,13210,N/A,N/A,N/A
006461,SAINT ELIZABETH MEDICAL CENTER,2209 GENESEE STREET,UTICA,NY,13501,N/A,N/A,N/A
006467,SAINT JOSEPH'S COLLEGE OF NURSING,206 PROSPECT AVE,SYRACUSE,NY,13203,N/A,N/A,N/A
006483,WATTS COLLEGE OF NURSING,3643 N ROXBORO ROAD,DURHAM,NC,27704,N/A,N/A,N/A
006487,AULTMAN COLLEGE OF NURSING AND HEALTH SC,2600 SIXTH ST SW,CANTON,OH,44710,N/A,N/A,N/A
006489,CHRIST COLLEGE OF NURSING AND HEALTH SCI,2139 AUBURN AVE,CINCINNATI,OH,45219,N/A,N/A,N/A
006494,GOOD SAMARITAN COLG-NURSING/HEALTH,375 DIXMYTH AVE,CINCINNATI,OH,45220,N/A,N/A,N/A
006507,TRINIT HEALTH SYSTEM SCH OF NURSING,380 SUMMIT AVE,STEUBENVILLE,OH,43952,N/A,N/A,N/A
006534,CITIZENS SCHOOL OF NURSING,651 FOURTH AVENUE,NEW KENSINGTON,PA,15068,N/A,N/A,N/A
006537,CONEMAUGH MEMORIAL MEDICAL CENTER,1086 FRANKLIN STREET,JOHNSTOWN,PA,15905,N/A,N/A,N/A
006551,ST MARGARET SCHL OF NURSING,221 SEVENTH STREET,PITTSBURGH,PA,15238,N/A,N/A,N/A
006560,"OHIO VALLEY GENERAL HOSPITAL, SCHOOL OF",25 HECKEL ROAD,MCKEES ROCKS,PA,15136,N/A,N/A,N/A
006574,"ST LUKE'S HOSPITAL OF BETHLEHEM, PA",801 OSTRUM ST,BETHLEHEM,PA,18015,N/A,N/A,N/A
006577,UPMC SHADYSIDE SCHOOL OF NURSING,5230 CENTRE AVENUE,PITTSBURGH,PA,15232,N/A,N/A,N/A
006578,SHARON REGIONAL SCHOOL OF NURSING,740 EAST STATE STREET,SHARON,PA,16146,N/A,N/A,N/A
006582,WASHINGTON HOSP SCH OF NURSING,155 WILSON AVE,WASHINGTON,PA,15301,N/A,N/A,N/A
006583,WESTERN PENN HOSP-SCH OF NURSING,4900 FRIENDSHIP AVE,PITTSBURGH,PA,15224,N/A,N/A,N/A
006639,BELLIN COLLEGE,PO BOX 23400,GREEN BAY,WI,54305,N/A,N/A,N/A
006656,COLLEGE OF DUPAGE,LAMBERT RD & 22ND ST,GLEN ELLYN,IL,60137,N/A,N/A,N/A
006661,ANGELINA COLLEGE,POST OFFICE BOX 1768,LUFKIN,TX,75902,N/A,N/A,N/A
006720,COLLEGE OF ALAMEDA,555 RALPH APPEZZATO MEMORIAL PARKWA,ALAMEDA,CA,94501,N/A,N/A,N/A
006725,UNIV OF TENNESSEE HEALTH SCIENCE CENTER,62 SOUTH DUNLAP SUITE 200,MEMPHIS,TN,38163,N/A,N/A,N/A
006731,CASA LOMA COLLEGE,6850 VAN NUYS #318,VAN NUYS,CA,91405,N/A,N/A,N/A
